title,category,description,location,price
Event 53,Music,An unforgettable experience.,Houston,30.41
Event 54,Tech,An unforgettable experience.,Phoenix,128.33
Event 55,Food,A great place to meet and connect.,New York,9.75
Event 56,Business,Enjoy performances and talks.,Los Angeles,53.41
Event 57,Health,An unforgettable experience.,Miami,19.73
Event 58,Health,Join us for fun and learning.,Phoenix,80.34
Event 59,Music,Join us for fun and learning.,Houston,167.58
Event 60,Food,Interactive and engaging sessions.,Miami,71.05
Event 61,Tech,Interactive and engaging sessions.,Houston,165.8
Event 62,Music,An amazing event to explore new ideas.,New York,180.85
Event 63,Music,Join us for fun and learning.,Miami,57.42
Event 64,Art,An unforgettable experience.,Seattle,70.75
Event 65,Education,An unforgettable experience.,Chicago,146.19
Event 66,Music,Join us for fun and learning.,Houston,67.34
Event 67,Tech,An amazing event to explore new ideas.,Miami,154.95
Event 68,Education,Enjoy performances and talks.,New York,120.95
Event 69,Tech,Discover the best in town.,New York,30.63
Event 70,Business,An amazing event to explore new ideas.,Seattle,14.53
Event 71,Business,An unforgettable experience.,New York,187.56
Event 72,Health,An amazing event to explore new ideas.,Seattle,24.31
Event 73,Food,An unforgettable experience.,Seattle,60.01
Event 74,Health,An unforgettable experience.,Houston,72.09
Event 75,Education,A great place to meet and connect.,Miami,62.91
Event 76,Art,Discover the best in town.,Houston,190.08
Event 77,Health,Discover the best in town.,Seattle,132.63
Event 78,Health,Discover the best in town.,Houston,107.51
Event 79,Food,Join us for fun and learning.,Seattle,179.4
Event 80,Health,An amazing event to explore new ideas.,Phoenix,165.58
Event 81,Health,An amazing event to explore new ideas.,Seattle,74.8
Event 82,Art,An unforgettable experience.,Los Angeles,188.78
Event 83,Education,A great place to meet and connect.,Los Angeles,196.25
Event 84,Tech,Join us for fun and learning.,New York,118.8
Event 85,Health,An amazing event to explore new ideas.,Chicago,147.29
Event 86,Business,Enjoy performances and talks.,Houston,42.0
Event 87,Business,A great place to meet and connect.,Miami,15.87
Event 88,Tech,Join us for fun and learning.,Phoenix,33.59
Event 89,Art,A great place to meet and connect.,Seattle,113.02
Event 90,Food,A great place to meet and connect.,Houston,69.43
Event 91,Business,Join us for fun and learning.,Chicago,155.45
Event 92,Music,Interactive and engaging sessions.,Miami,141.75
Event 93,Music,An amazing event to explore new ideas.,Seattle,178.47
Event 94,Food,Discover the best in town.,Seattle,137.28
Event 95,Music,Discover the best in town.,Los Angeles,130.87
Event 96,Music,An amazing event to explore new ideas.,Miami,7.75
Event 97,Tech,Interactive and engaging sessions.,Miami,139.39
Event 98,Health,Interactive and engaging sessions.,Los Angeles,89.79
Event 99,Health,An unforgettable experience.,Phoenix,117.13
Event 100,Food,Interactive and engaging sessions.,Houston,5.54
